sender_acct,receiver_acct,amount,timestamp,doc_id
30123456796,30123456789,45000,2026-03-05 16:30:00,fir_101
30123456789,30123456790,15000,2026-03-06 10:00:00,fir_101
30123456790,30123456791,5000,2026-03-06 12:00:00,fir_102
30123456791,30123456792,3000,2026-03-11 09:00:00,fir_102
30123456793,30123456794,500000,2026-03-20 09:00:00,fir_103
30123456794,30123456795,495000,2026-03-20 15:00:00,fir_103
30123456795,30123456793,490000,2026-03-21 09:00:00,fir_103
30123456793,30123456795,20000,2026-03-08 11:00:00,fir_103
30123456794,30123456793,10000,2026-03-09 14:00:00,fir_103
30123456797,30123456791,2000,2026-03-07 10:00:00,fir_102
30123456792,30123456793,8000,2026-03-19 10:00:00,fir_103
30123456795,30123456794,12000,2026-03-12 13:00:00,fir_103
30123456790,30123456789,4000,2026-03-13 09:00:00,fir_101
30123456796,30123456789,5000,2026-03-14 10:00:00,fir_101
30123456791,30123456790,2500,2026-03-15 09:30:00,fir_102
